VotePubkey,VoteCredits,ActivatedStake,Commission,Reward
J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,360827,1119040.7,3,15.28
HwhsBNduje3zK3aHqfMPrQN2NYytTHvSwEjLs43NLmtp,360417,53660.58,7,1.87
J16gLiz6BJC8CuFY2RETBnsu9MgthgVnpLHVJzvdu1bz,360514,7994.35,100,4.5
A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,360968,34607.58,0,0.0
A3GVugPZjqiuKSHtWSbH47Q7L9auC9UbTYS2TJCqPxMu,360948,8397.83,100,4.36
J1r9rLo71mG7eTpX1jiYi7vyLE3QMZ4PCBXYJJfXYsp6,360860,54556.27,7,1.9
6gNdKvKUXLsmGnhYHAa6BRtcirMEM6orhZfikoFVXen9,360846,3737.32,8,0.13
Fn8W13S1dgiqjoTESpWc6MXkVcUqw35orBKgL2aYzqVM,360710,53354.26,7,1.83
95GpgsEW3dfNUN3HVykjhKqRX6NvLaTeYUszvkcpx9Kg,351883,6317.18,100,3.59
8Bsn6atd2NRbtRvkotzM8aLa8PXWv56SQF6bum2advGF,357409,53461.02,7,1.88
NikGQUQqSLtsdHGGx7mQopojZcgd3N9uWFaZQ1r5EXn,360189,203619.11,0,0.0
CraRZ3Pk5mJC2sfGXGH2rFRYjr8LPVz2gLowNbujcND3,360844,54838.4,7,1.9
8EwqVDPwa773DXfymS5dhvahabfjTSB3qxnpq9kR7bNp,359337,49185.65,7,1.66
BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,384907,4172461.29,3,60.07
kpkkSzKLha44i5ij2eyTf8Aju9eQTEixeR8ktmvtDgT,360948,91653.73,7,3.2
5bjKPhoQDcpPVeMhu83SEtXqXA9vw62k7KhL9zpsK31b,360844,52497.37,7,1.84
A2p8VRhPEZzLjx51dhVAruxjuJv1raXfDYxzXQzeJPEo,361202,57591.04,7,1.96
HkK6U5e8HkTs5uE7VEWQ2H3NuznjLF1mpoRVjzdDgfF5,361044,41199.51,0,1.33
4EPxG5rp1sUuHtrTcgQYfPo6KjvTWp6YafYsdUSP7mks,361502,46750.48,7,1.71
53E4XKikDXTiATZY1cuhXqSuYZ7usvpuGosjCY7SmV3Y,360473,7547.77,100,4.24
BtY1xJFYukPn1sFnixMDpXcUt1feL4sGqQC9A3LZi1Rq,360874,49400.34,7,1.67
FgiteGaHbA22Wt4Quzv3muscQtvX7gzVwvUHbFnb3rTJ,359466,68585.18,0,0.0
EZ1Va4qxTaow2TSVo2ZHHvH72BC9t8mQ8ZG4kdq1AnCs,360677,8582.52,100,4.39
DQRqi1v2un5eSoWxCkheGyVvcxm5LiMnxmSRUXazdGVX,361161,14783.12,7,0.32
HgovzvawYMRPY6Go2kaQF1vLR4rNixooHKrUWSH6aW4C,360698,67394.21,7,2.3
HzJULufbrhteHLQDYAh8ZZn3P6Kip9MDo2eLEXgiTJed,360694,50543.87,7,1.74
cover89z945JotsCRGdbjakJm4rnL5XspFSPgN1mVZj,360660,158770.51,3,2.46
2WKHhJ34gNkw1G8iReLXn8roPfQUjsLyzjWHspNdvbFw,358581,35730.88,7,1.12
Gzb8kTzQdDuX84fjBZ9th5vZz1T1xwJayxsiGwKR28F5,360711,31533.64,3,0.43
GGKZN9R2aGaW3rBA1HyzSUJESjNccpEfUQtQNZG2z9Dr,360486,34108.11,7,1.08
CjDsntDs5hXT14mrnEugMXJJ13PXxyZTLiSD3qNivX3t,360853,8256.39,100,4.76
4KAmS9X8tGJPPzDdwT9Fa9F1y3GZEoacGhMqJ6zstUXN,358057,38378.93,7,1.22
5cYwwC8dmQ2tvtjDueHrU2B6NvmTHmoimsNGeGXVbkP8,360848,51731.32,7,1.81
FQ7vjqjz7sxLA9m34TfieT7dZZ6hsaNhJV6r744UDRKR,360771,39122.99,7,1.34
GJQjnyhSG9jN1AdMHTSyTxUR44hJHEGCmNzkidw9z3y8,360654,51861.19,7,1.87
